time,QA:1,force:1,pA:1,pos:1
0,0,11433.37721,4043730,0.007353829
9.88155E-06,0,11433.38345,4043730.312,0.007353829
2.96447E-05,0,11433.39769,4043731.562,0.007353828
0.00012846,0,11433.52187,4043756.547,0.007353825
0.000622538,0,11435.46713,4044349.869,0.007353737
0.001717915,0,11447.64454,4048446.782,0.00735313
0.003344032,0,11485.65512,4061578.025,0.007351184
0.005422141,0,11568.64269,4090527.97,0.007346895
0.007500249,0,11689.72472,4132947.842,0.007340611
0.010250193,0,11906.99675,4209251.211,0.007329306
0.013000136,0,12186.94382,4307713.453,0.007314719
0.016334656,0,12605.50874,4455075.983,0.007292887
0.019669176,0,13104.09653,4630735.318,0.007266863
0.023003696,0,13674.12565,4831665.52,0.007237094
0.027132153,0,14463.44322,5110018.255,0.007195856
0.03126061,0,15326.19974,5414404.712,0.007150761
0.035389067,0,16239.64578,5736819.399,0.007102994
0.039517524,0,17179.69501,6068787.63,0.007053813
0.043645981,0,18121.56779,6401589.177,0.007004508
0.047774438,0,19040.4534,6726488.129,0.006956373
0.051902896,0,19912.17257,7034962.961,0.006910673
0.056031353,0,20713.82147,7318930.625,0.006868602
0.06015981,0,21424.37937,7570958.706,0.006831264
0.065207484,0,22141.80974,7825930.012,0.00679349
0.070255158,0,22667.97776,8013586.042,0.006765689
0.075302832,0,22982.60013,8126659.42,0.006748937
0.080350507,0,23073.72287,8160804.449,0.006743878
0.085398181,0,22938.15272,8114761.661,0.006750699
0.090445855,0,22581.54367,7990402.058,0.006769123
0.095493529,0,22018.1392,7792649.347,0.00679842
0.100541203,0,21270.18562,7529283.816,0.006837438
0.105588878,0,20367.04339,7210635.856,0.006884646
0.110636552,0,19344.03344,6849181.261,0.006938196
0.115684226,0,18241.06402,6459054.061,0.006995994
0.1207319,0,17101.09017,6055495.737,0.007055782
0.125779574,0,15968.46264,5654261.963,0.007115226
0.130827249,0,14887.22659,5271009.648,0.007172005
0.135874923,0,13899.43134,4920687.788,0.007223906
0.140922597,0,13043.51275,4616955.545,0.007268905
0.145970271,0,12352.80767,4371650.036,0.007305247
0.151017946,0,11854.25634,4194324.512,0.007331518
0.15606562,0,11567.34302,4091875.011,0.007346696
0.161113294,0,11503.318,4068270.3,0.007350194
0.166160968,0,11664.73444,4124395.936,0.007341878
0.171208642,0,12045.32241,4258018.951,0.007322082
0.176256317,0,12630.21007,4463874.871,0.007291584
0.181303991,0,13396.48742,4733873.97,0.007251583
0.186351665,0,14314.09431,5057418.859,0.007203649
0.191399339,0,15346.99948,5421820.986,0.007149662
0.196447013,0,16454.62413,5812799.431,0.007091738
0.2,0,17254.32561,6095231.196,0.007049895
0.2,0,17254.32561,6095231.196,0.007049895
0.2,0,17254.32561,6095231.196,0.007049895
0.200000806,1.21294E-11,17254.50856,6095295.825,0.007049886
0.200002419,6.04526E-11,17254.87447,6095425.083,0.007049866
0.200004031,1.5652E-10,17255.24038,6095554.342,0.007049847
0.200006186,3.5804E-10,17255.72936,6095727.077,0.007049822
0.200011443,1.18882E-09,17256.92214,6096148.433,0.007049759
0.2000167,2.48338E-09,17258.11496,6096569.802,0.007049697
0.200023082,4.64319E-09,17259.56318,6097081.397,0.007049621
0.200029463,7.41157E-09,17261.01151,6097593.028,0.007049545
0.200035845,1.07509E-08,17262.45997,6098104.707,0.00704947
0.200042227,1.46257E-08,17263.90859,6098616.441,0.007049394
0.200048609,1.90029E-08,17265.35738,6099128.237,0.007049318
0.200057107,2.55556E-08,17267.28686,6099809.838,0.007049217
0.200065605,3.28763E-08,17269.21673,6100491.58,0.007049116
0.200076489,4.32718E-08,17271.68928,6101365.031,0.007048987
0.200087374,5.47059E-08,17274.16264,6102238.765,0.007048858
0.200101051,7.03762E-08,17277.2717,6103337.071,0.007048695
0.200114727,8.73305E-08,17280.38226,6104435.909,0.007048533
0.200131978,1.10285E-07,17284.30796,6105822.706,0.007048328
0.200149229,1.34741E-07,17288.23641,6107210.476,0.007048123
0.200171207,1.67689E-07,17293.24574,6108980.085,0.007047862
0.200193185,2.02287E-07,17298.26005,6110751.459,0.007047601
0.200221667,2.49033E-07,17304.76589,6113049.745,0.007047263
0.200250149,2.97456E-07,17311.28081,6115351.252,0.007046925
0.200288103,3.63859E-07,17319.97703,6118423.349,0.007046474
0.200326057,4.318E-07,17328.69033,6121501.494,0.007046023
0.200378936,5.28092E-07,17340.85898,6125800.343,0.007045395
0.200431815,6.25588E-07,17353.06186,6130111.314,0.007044767
0.200510997,7.72738E-07,17371.39923,6136589.503,0.007043827
0.200608795,9.55374E-07,17394.15511,6144628.757,0.007042666
0.200745428,1.211E-06,17426.14602,6155930.771,0.007041044
0.200937181,1.56967E-06,17471.43125,6171929.874,0.007038768
0.201248021,2.15018E-06,17545.79817,6198204.348,0.00703508
0.201832621,3.23844E-06,17688.8222,6248739.122,0.00702815
0.203373709,6.08382E-06,18084.8934,6388704.191,0.007009955
0.206907859,1.24651E-05,19087.60837,6743179.595,0.006969031
0.21044201,1.86155E-05,20203.51121,7137886.348,0.006929979
0.21397616,2.45051E-05,21405.0732,7563163.303,0.006893923
0.21751031,3.01138E-05,22662.51608,8008555.228,0.006862073
0.222017307,3.68483E-05,24295.64287,8587623.725,0.006829653
0.226524305,4.31272E-05,25903.58748,9158594.748,0.006808804
0.231031302,4.90008E-05,27422.95796,9699121.855,0.006802152
0.2355383,5.45573E-05,28795.39191,10188572.41,0.006812176
0.240045297,5.992E-05,29970.50091,10609059.93,0.006841119
0.244552294,6.52402E-05,30908.38626,10946334.27,0.006890905
0.249059292,7.06842E-05,31581.50212,11190451.01,0.006963072
0.25,7.18462E-05,31687.74521,11229332.62,0.006981025
0.25,7.18504E-05,31687.74521,11229332.62,0.006981025
0.25,7.18504E-05,31687.74521,11229332.62,0.006981025
0.250718302,7.1859E-05,31752.13462,11253102.99,0.006995759
0.252154906,7.16946E-05,31856.87227,11292141.08,0.007026445
0.253228542,7.15838E-05,31903.75629,11310203.78,0.007050972
0.254302177,7.1556E-05,31924.04935,11318846.54,0.007076868
0.256047905,7.15734E-05,31901.26481,11313122.8,0.007121901
0.257793633,7.17304E-05,31810.69385,11283343.8,0.007170553
0.260558862,7.21917E-05,31533.67712,11188715.88,0.00725495
0.264505553,7.33259E-05,30871.15712,10958554.67,0.007390608
0.268452243,7.49208E-05,29920.62569,10625629.39,0.007543396
0.273238723,7.73771E-05,28433.1326,10102082.67,0.007749869
0.278025204,8.02335E-05,26641.59591,9469368.748,0.007977012
0.282811685,8.33581E-05,24619.4964,8753511.905,0.008221536
0.287598166,8.65905E-05,22443.41377,7981764.616,0.008479721
0.292384647,8.98278E-05,20190.88724,7181823.093,0.00874756
0.297171128,9.29465E-05,17938.38679,6381073.558,0.009020899
0.301957609,9.58776E-05,15759.27463,5605831.175,0.009295581
0.307747986,9.90478E-05,13321.04263,4737907.474,0.009623763
0.313538363,0.000101739,11195.87405,3981108.255,0.009941485
0.319328739,0.000103864,9471.831153,3366960.042,0.010243005
0.325119116,0.000105394,8214.689984,2918922.567,0.010523659
0.330909493,0.000106291,7465.445849,2651513.997,0.010780037
0.33669987,0.000106568,7238.903443,2569849.865,0.011010098
0.342490246,0.000106231,7523.570789,2669662.933,0.01121321
0.348280623,0.00010533,8282.780083,2937763.261,0.011390123
0.35,0.00010496,8592.542205,3047253.379,0.011437852
0.35,0.00010496,8592.542205,3047253.379,0.011437852
0.351588403,0.000104559,8924.198479,3164530.507,0.011479215
0.354765208,0.000103692,9640.606934,3417864.429,0.011558675
0.357942013,0.000102696,10455.68817,3706142.503,0.011631912
0.362786386,0.000100968,11850.78326,4199640.325,0.011733273
0.369107697,9.84262E-05,13860.35139,4910674.959,0.011850826
0.375429007,9.56908E-05,15964.43289,5655467.18,0.011957478
0.381750318,9.29269E-05,18029.0802,6386800.522,0.012059976
0.388071628,9.03045E-05,19929.86059,7060790.236,0.012164949
0.394392938,8.79904E-05,21559.67428,7639591.453,0.012278505
0.400714249,8.61317E-05,22834.91642,8093547.031,0.012405893
0.407035559,8.48431E-05,23699.50121,8402611.675,0.012551228
0.41335687,8.4192E-05,24126.53274,8556974.172,0.012717314
0.41967818,8.41923E-05,24117.69871,8556895.152,0.012905552
0.42599949,8.48039E-05,23700.75021,8411875.202,0.013115948
0.432320801,8.59419E-05,22925.58865,8139323.955,0.013347194
0.438642111,8.74891E-05,21859.50766,7762913.34,0.013596829
0.444963422,8.93123E-05,20582.0354,7310767.006,0.013861453
0.451284732,9.12749E-05,19179.693,6813597.247,0.014136979
