time,QA:1,force:1,pA:1,pos:1
0,0,11433.37721,4043730,0.007353829
0.03,0,11433.364,4043725.377,0.007353829
0.06,0,11433.35307,4043721.494,0.00735383
0.09,0,11433.35421,4043721.821,0.00735383
0.12,0,11433.3652,4043725.706,0.007353829
0.15,0,11433.36665,4043726.294,0.007353829
0.18,0,11433.35621,4043722.621,0.00735383
0.2,0,11433.35222,4043721.175,0.00735383
0.2,0,11433.35222,4043721.175,0.00735383
0.2,0,11433.35222,4043721.175,0.00735383
0.200000715,1.03153E-11,11433.35222,4043721.175,0.00735383
0.200002146,5.143E-11,11433.35222,4043721.175,0.00735383
0.20000325,1.11004E-10,11433.35222,4043721.175,0.00735383
0.200005238,2.78408E-10,11433.35222,4043721.176,0.00735383
0.200010253,1.03425E-09,11433.35224,4043721.183,0.00735383
0.200015269,2.25138E-09,11433.3523,4043721.203,0.00735383
0.200021636,4.4243E-09,11433.35244,4043721.253,0.00735383
0.200028003,7.26083E-09,11433.35269,4043721.342,0.00735383
0.20003437,1.072E-08,11433.35308,4043721.478,0.00735383
0.200040737,1.47635E-08,11433.35362,4043721.671,0.00735383
0.200047105,1.93552E-08,11433.35436,4043721.93,0.00735383
0.200055398,2.61E-08,11433.35563,4043722.38,0.00735383
0.200063691,3.36486E-08,11433.3573,4043722.971,0.00735383
0.200074311,4.4383E-08,11433.36009,4043723.96,0.00735383
0.20008493,5.62093E-08,11433.3637,4043725.234,0.00735383
0.20009829,7.24634E-08,11433.3695,4043727.286,0.00735383
0.20011165,9.0079E-08,11433.37682,4043729.877,0.00735383
0.200128493,1.13957E-07,11433.38842,4043733.978,0.00735383
0.200145336,1.39438E-07,11433.40282,4043739.072,0.00735383
0.200166767,1.73777E-07,11433.42547,4043747.083,0.00735383
0.200188198,2.09891E-07,11433.45321,4043756.896,0.00735383
0.20021591,2.58654E-07,11433.49703,4043772.393,0.00735383
0.200243622,3.09243E-07,11433.55013,4043791.177,0.00735383
0.200280422,3.78477E-07,11433.63553,4043821.383,0.00735383
0.200317223,4.49414E-07,11433.73833,4043857.746,0.00735383
0.200368211,5.49532E-07,11433.91019,4043918.539,0.00735383
0.2004192,6.51033E-07,11434.11673,4043991.6,0.00735383
0.200494858,8.03019E-07,11434.48788,4044122.898,0.00735383
0.200587712,9.9069E-07,11435.04975,4044321.671,0.00735383
0.200716011,1.25078E-06,11436.01976,4044664.858,0.00735383
0.200893614,1.61123E-06,11437.73395,4045271.382,0.00735383
0.20117468,2.18175E-06,11441.3278,4046543.157,0.00735383
0.201682924,3.2132E-06,11450.56329,4049812.163,0.007353831
0.202371339,4.6096E-06,11468.67297,4056224.569,0.007353833
0.203059753,6.00491E-06,11493.19027,4064909.265,0.007353839
0.203748168,7.39879E-06,11524.06332,4075849.782,0.007353849
0.204436583,8.79094E-06,11561.22813,4089025.385,0.007353868
0.205124998,1.0181E-05,11604.60869,4104411.117,0.007353899
0.205813412,1.15687E-05,11654.11709,4121977.853,0.007353944
0.206501827,1.29538E-05,11709.65367,4141692.359,0.007354008
0.207190242,1.43358E-05,11771.10726,4163517.365,0.007354097
0.207878656,1.57146E-05,11838.35533,4187411.643,0.007354215
0.208567071,1.70899E-05,11911.26427,4213330.092,0.007354369
0.209255486,1.84613E-05,11989.68964,4241223.833,0.007354565
0.210099542,2.01373E-05,12093.13726,4278039.243,0.007354872
0.210943598,2.18066E-05,12204.33629,4317640.275,0.007355265
0.211973634,2.38343E-05,12350.04131,4369571.61,0.007355885
0.213003671,2.58508E-05,12506.15782,4425265.64,0.007356684
0.214263692,2.83016E-05,12710.25022,4498156.375,0.007357952
0.215523714,3.07337E-05,12927.55968,4575870.029,0.007359592
0.217098356,3.37457E-05,13215.46142,4678997.176,0.007362269
0.218672999,3.67261E-05,13518.86892,4787895.064,0.007365759
0.220722981,4.05582E-05,13931.81073,4936491.483,0.007371761
0.222772963,4.43357E-05,14358.83768,5090666.593,0.007379695
0.225677873,4.95987E-05,14973.2545,5313552.341,0.007394928
0.228582784,5.47648E-05,15581.20512,5535564.062,0.007415648
0.231487695,5.98495E-05,16162.95043,5749769.51,0.007442791
0.234392606,6.4874E-05,16700.08897,5949633.154,0.007477251
0.237297516,6.98641E-05,17176.21901,6129242.183,0.007519857
0.240202427,7.4849E-05,17577.50045,6283504.519,0.007571342
0.243107338,7.98598E-05,17893.09157,6408310.675,0.007632325
0.246674666,8.60948E-05,18152.47403,6516896.513,0.007720928
0.25,9.20325E-05,18261.99731,6571406.61,0.007817604
0.25,9.20315E-05,18261.99731,6571406.61,0.007817604
0.25,9.20315E-05,18261.99731,6571406.61,0.007817604
0.250612561,9.2179E-05,18262.08952,6574270.727,0.00783715
0.251837682,9.22256E-05,18244.82128,6573711.385,0.007877184
0.253062804,9.22444E-05,18192.73673,6560567.632,0.007919096
0.254287925,9.2366E-05,18106.57137,6535044.239,0.007962873
0.256032167,9.25685E-05,17927.29868,6478025.456,0.008028364
0.258148448,9.29683E-05,17624.93282,6377621.569,0.008112674
0.260995393,9.36627E-05,17083.99364,6192699.601,0.00823403
0.264654051,9.48498E-05,16193.66053,5881602.556,0.008402084
0.268312708,9.62516E-05,15127.53693,5503249.914,0.008581779
0.271971366,9.78268E-05,13938.74219,5076796.588,0.008770525
0.275630023,9.94595E-05,12682.95468,4622746.87,0.008965436
0.279288681,0.000101104,11416.15696,4162022.541,0.009163457
0.282947338,0.000102661,10192.68659,3715110.533,0.009361503
0.286605996,0.000104094,9063.29655,3301208.871,0.009556593
0.290264653,0.000105327,8073.487704,2937491.096,0.009745974
0.293923311,0.000106339,7261.879483,2638423.687,0.009927228
0.29843122,0.000107213,6551.831691,2375422.82,0.010136432
0.302939128,0.000107666,6193.401659,2240183.379,0.010327765
0.307447037,0.000107672,6199.753353,2237028.574,0.010499895
0.311954946,0.000107264,6559.375968,2361249.369,0.010652834
0.316462855,0.000106465,7236.825714,2599659.429,0.010787893
0.320970764,0.000105351,8175.19153,2931701.13,0.010907555
0.325478673,0.000103988,9300.410094,3331086.236,0.011015265
0.329986582,0.000102483,10527.01787,3767801.243,0.011115157
0.334494491,0.000100929,11764.97549,4210369.496,0.011211745
0.3390024,9.94449E-05,12926.7655,4628143.051,0.011309583
0.343510309,9.81249E-05,13934.13544,4993476.247,0.011412956
0.348018217,9.7067E-05,14723.69216,5283567.555,0.011525579
0.35,9.67006E-05,14990.82171,5383193.01,0.011578742
0.35,9.67007E-05,14990.82171,5383193.01,0.011578742
0.35,9.67007E-05,14990.82171,5383193.01,0.011578742
0.351193079,9.65253E-05,15115.63728,5430487.079,0.011612464
0.353579237,9.62284E-05,15324.60228,5510723.923,0.011681912
0.355965395,9.60386E-05,15451.94534,5561964.083,0.011755451
